Id,Asset class,Emission factor type,Country,Data level 1 information,Data level 2 information,EPC Rating,Emission factor functional unit (name),Emission factor functional unit (unit),Emission factor (name),Emission factor (unit),PCAF data quality score,Emission factor
9795,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Hotel,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,7.65384
9796,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Hotel,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,11.2996
9797,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Hotel,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,15.0559
9798,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Hotel,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,18.9227
9799,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Hotel,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,22.7895
9800,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Hotel,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,26.38
9801,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Hotel,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,29.5839
9802,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Industrial distribution warehouse,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,2.00038
9803,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Industrial distribution warehouse,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,2.95324
9804,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Industrial distribution warehouse,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,3.93497
9805,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Industrial distribution warehouse,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,4.94557
9806,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Industrial distribution warehouse,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,5.95617
9807,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Industrial distribution warehouse,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,6.89459
9808,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Industrial distribution warehouse,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,7.73195
9809,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Healthcare,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,34.7776
9810,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Healthcare,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,51.3435
9811,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Healthcare,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,68.4114
